Code,Name,Brand,MAP Price,Warranty,Weight,Stock Level,Product Images,UPC/EAN
ASG-50187,"ICS CXP-APE Keymod ACR CQB Style Metal AEG Airsoft Rifle, Two-Tone",ICS Airsoft,399.95,30 Day Return / 45 Day Warranty,9,0,Product Image URL: http://www.airsoftstation.com/product_images/e/779/ics-cxp-ape-keymod-acr-cqb-style-metal-aeg-airsoft-rifle-two-tone__31044.jpg,5.71E+12
UK-ICS-IMT-231-1,"ICS CXP-APE Keymod ACR Style Metal AEG Airsoft Rifle, Tan",ICS Airsoft,389,30 Day Return & Warranty,9,0,Product Image URL: http://www.airsoftstation.com/product_images/o/979/ics-cxp-ape-keymod-acr-style-metal-aeg-airsoft-rifle-tan__46599.jpg,
UK-MA-295,ICS CXP-APE Polymer Air Nozzle,,8,Parts Return Policy  See Policy Page,0.01,0,Product Image URL: http://www.airsoftstation.com/product_images/m/229/ics-cxp-ape-polymer-air-nozzle__60539.jpg,
UK-MA-296,ICS CXP-APE Polymer Wheel-Style Hop-Up Unit,ICS Airsoft,18.4,Parts Return Policy  See Policy Page,0.01,0,Product Image URL: http://www.airsoftstation.com/product_images/s/258/ics-cxp-ape-polymer-wheel-style-hop-up-unit__72623.jpg,
EVK-PS-200706,"FN Herstal SCAR-L Spring Powered Airsoft Gun, Black",FN Herstal,47.3,30 Day Return / 60 Day Warranty,6,3,Product Image URL: http://www.airsoftstation.com/product_images/k/749/fn-herstal-scar-l-spring-powered-airsoft-gun-black__07977.jpg|Product Image URL: http://www.airsoftstation.com/product_images/j/821/fn-herstal-scar-l-spring-powered-airsoft-gun-black__65632.jpg,8.06E+11
VLK-73858,"Valken Tactical 30mm Illuminated Red Dot Optic, Black",Valken,40.7,30 Day Return,0.3,0,Product Image URL: http://www.airsoftstation.com/product_images/h/469/valken-tactical-30mm-illuminated-red-dot-optic-black__78819.jpg|Product Image URL: http://www.airsoftstation.com/product_images/p/065/valken-tactical-30mm-illuminated-red-dot-optic-black__82302.jpg|Product Image URL: http://www.airsoftstation.com/product_images/h/044/valken-tactical-30mm-illuminated-red-dot-optic-black__49001.jpg|Product Image URL: http://www.airsoftstation.com/product_images/e/060/valken-tactical-30mm-illuminated-red-dot-optic-black__97524.jpg|Product Image URL: http://www.airsoftstation.com/product_images/k/612/valken-tactical-30mm-illuminated-red-dot-optic-black__25705.jpg|Product Image URL: http://www.airsoftstation.com/product_images/j/099/valken-tactical-30mm-illuminated-red-dot-optic-black__39918.jpg,8.45E+11
VLK-73865,"Valken Tactical 30mm Illuminated Red Dot Optic, Tan",Valken,40.7,30 Day Return,0.3,0,Product Image URL: http://www.airsoftstation.com/product_images/f/963/valken-tactical-30mm-illuminated-red-dot-optic-tan__56555.jpg,8.45E+11
UX-2211076,Elite Force Complete 1911 Rebuild Kit,Elite Force,17.2,Parts Warranty,0.4,10,Product Image URL: http://www.airsoftstation.com/product_images/c/958/elite-force-complete-1911-rebuild-kit__08419.jpg,7.23E+11
UX-2211078,Elite Force 1911 CO2 Pistol 14mm CCW Threaded Outer Barrel Assembly,Elite Force,25.3,Parts Warranty,0.2,6,Product Image URL: http://www.airsoftstation.com/product_images/k/426/elite-force-1911-co2-pistol-14mm-ccw-threaded-outer-barrel-assembly__42051.jpg,7.23E+11
UK-MS-111,ICS Refillable 16oz Soft Water Bottle with Carabiner,ICS Airsoft,8,,0.1,0,Product Image URL: http://www.airsoftstation.com/product_images/j/461/ics-refillable-16oz-soft-water-bottle-with-carabiner__08815.jpg,
